,model,ACT
262,Multi-CNN VS Kyo Kusanagi,0
263,Multi-CNN VS Kyo Kusanagi,0
264,Multi-CNN VS Kyo Kusanagi,0
265,Multi-CNN VS Kyo Kusanagi,0
266,Multi-CNN VS Kyo Kusanagi,0
267,Multi-CNN VS Kyo Kusanagi,0
268,Multi-CNN VS Kyo Kusanagi,0
269,Multi-CNN VS Kyo Kusanagi,0
270,Multi-CNN VS Kyo Kusanagi,0
271,Multi-CNN VS Kyo Kusanagi,0
272,Multi-CNN VS Kyo Kusanagi,0
273,Multi-CNN VS Kyo Kusanagi,0
274,Multi-CNN VS Kyo Kusanagi,0
275,Multi-CNN VS Kyo Kusanagi,0
276,Multi-CNN VS Kyo Kusanagi,0
277,Multi-CNN VS Kyo Kusanagi,0
278,Multi-CNN VS Kyo Kusanagi,0
279,Multi-CNN VS Kyo Kusanagi,0
280,Multi-CNN VS Kyo Kusanagi,0
281,Multi-CNN VS Kyo Kusanagi,0
282,Multi-CNN VS Kyo Kusanagi,0
283,Multi-CNN VS Kyo Kusanagi,0
284,Multi-CNN VS Kyo Kusanagi,0
285,Multi-CNN VS Kyo Kusanagi,0
286,Multi-CNN VS Kyo Kusanagi,0
287,Multi-CNN VS Kyo Kusanagi,0
288,Multi-CNN VS Kyo Kusanagi,0
289,Multi-CNN VS Kyo Kusanagi,0
290,Multi-CNN VS Kyo Kusanagi,0
291,Multi-CNN VS Kyo Kusanagi,0
292,Multi-CNN VS Kyo Kusanagi,0
293,Multi-CNN VS Kyo Kusanagi,0
294,Multi-CNN VS Kyo Kusanagi,0
295,Multi-CNN VS Kyo Kusanagi,0
296,Multi-CNN VS Kyo Kusanagi,0
297,Multi-CNN VS Kyo Kusanagi,0
298,Multi-CNN VS Kyo Kusanagi,0
299,Multi-CNN VS Kyo Kusanagi,0
300,Multi-CNN VS Kyo Kusanagi,0
301,Multi-CNN VS Kyo Kusanagi,0
302,Multi-CNN VS Kyo Kusanagi,0
303,Multi-CNN VS Kyo Kusanagi,0
304,Multi-CNN VS Kyo Kusanagi,0
305,Multi-CNN VS Kyo Kusanagi,0
306,Multi-CNN VS Kyo Kusanagi,0
307,Multi-CNN VS Kyo Kusanagi,0
308,Multi-CNN VS Kyo Kusanagi,0
309,Multi-CNN VS Kyo Kusanagi,0
310,Multi-CNN VS Kyo Kusanagi,0
311,Multi-CNN VS Kyo Kusanagi,0
312,Multi-CNN VS Kyo Kusanagi,0
313,Multi-CNN VS Kyo Kusanagi,0
314,Multi-CNN VS Kyo Kusanagi,0
315,Multi-CNN VS Kyo Kusanagi,0
316,Multi-CNN VS Kyo Kusanagi,0
317,Multi-CNN VS Kyo Kusanagi,0
318,Multi-CNN VS Kyo Kusanagi,0
319,Multi-CNN VS Kyo Kusanagi,0
320,Multi-CNN VS Kyo Kusanagi,0
321,Multi-CNN VS Kyo Kusanagi,0
322,Multi-CNN VS Kyo Kusanagi,0
323,Multi-CNN VS Kyo Kusanagi,0
324,Multi-CNN VS Kyo Kusanagi,0
325,Multi-CNN VS Kyo Kusanagi,0
326,Multi-CNN VS Kyo Kusanagi,0
327,Multi-CNN VS Kyo Kusanagi,0
328,Multi-CNN VS Kyo Kusanagi,0
329,Multi-CNN VS Kyo Kusanagi,0
330,Multi-CNN VS Kyo Kusanagi,0
331,Multi-CNN VS Kyo Kusanagi,0
332,Multi-CNN VS Kyo Kusanagi,0
333,Multi-CNN VS Kyo Kusanagi,0
334,Multi-CNN VS Kyo Kusanagi,0
335,Multi-CNN VS Kyo Kusanagi,0
336,Multi-CNN VS Kyo Kusanagi,0
337,Multi-CNN VS Kyo Kusanagi,0
338,Multi-CNN VS Kyo Kusanagi,0
339,Multi-CNN VS Kyo Kusanagi,0
340,Multi-CNN VS Kyo Kusanagi,0
341,Multi-CNN VS Kyo Kusanagi,0
342,Multi-CNN VS Kyo Kusanagi,0
343,Multi-CNN VS Kyo Kusanagi,0
344,Multi-CNN VS Kyo Kusanagi,0
345,Multi-CNN VS Kyo Kusanagi,0
346,Multi-CNN VS Kyo Kusanagi,0
347,Multi-CNN VS Kyo Kusanagi,0
348,Multi-CNN VS Kyo Kusanagi,0
349,Multi-CNN VS Kyo Kusanagi,0
350,Multi-CNN VS Kyo Kusanagi,0
351,Multi-CNN VS Kyo Kusanagi,0
352,Multi-CNN VS Kyo Kusanagi,0
353,Multi-CNN VS Kyo Kusanagi,0
354,Multi-CNN VS Kyo Kusanagi,0
355,Multi-CNN VS Kyo Kusanagi,0
356,Multi-CNN VS Kyo Kusanagi,0
357,Multi-CNN VS Kyo Kusanagi,0
358,Multi-CNN VS Kyo Kusanagi,0
359,Multi-CNN VS Kyo Kusanagi,0
360,Multi-CNN VS Kyo Kusanagi,0
361,Multi-CNN VS Kyo Kusanagi,0
362,Multi-CNN VS Kyo Kusanagi,0
363,Multi-CNN VS Kyo Kusanagi,0
364,Multi-CNN VS Kyo Kusanagi,0
365,Multi-CNN VS Kyo Kusanagi,0
366,Multi-CNN VS Kyo Kusanagi,0
367,Multi-CNN VS Kyo Kusanagi,0
368,Multi-CNN VS Kyo Kusanagi,0
369,Multi-CNN VS Kyo Kusanagi,0
370,Multi-CNN VS Kyo Kusanagi,1
371,Multi-CNN VS Kyo Kusanagi,1
372,Multi-CNN VS Kyo Kusanagi,1
373,Multi-CNN VS Kyo Kusanagi,1
374,Multi-CNN VS Kyo Kusanagi,1
375,Multi-CNN VS Kyo Kusanagi,1
376,Multi-CNN VS Kyo Kusanagi,1
